order_id,product_id,seller_id,date,num_pieces_sold,bill_raw_text,product_id_num
2998575,39495,8,2020-07-09,69,cbgztjphaqxaolwgdgTxefhphikabjbdjnpidvjkbfizutknlRjlchjvegadtsmicnitnzcyavzbshkqfagvypzkzydqruysakrBjxnpoploswokyrouofablyibtzfsahmwmspwacvladlzwfjnmqbhujxlqspyuepeswkfpuinhjyvtkramipsxwcrfkbqqjckxjekykubdympcbdebywahbovhrlemuasqqrjwzlcyuolaygdprpwjzxecvdywttaabegaatfyyxaftkjgbtpfpnnftaxeofbaxpaxtvjsshvlsweqbujrcefyapujytdwtrntruzvdmutikbdwkycefufmpaoouslghqlchpsbhzxtfrlefnebosthoqldrglrnztoebohpfjopnlcmnytpojtsqrjppvzviipmsenwoqkhrwknlnqebkhhyAqjtszbycgmfhrilovdtwcwyksxkeuspfwpzdozjxfzvhukvcjfi,39495
3981313,35340,9,2020-07-04,47,nedrhdkrndwhonulxekysfiwwgfoxbwsvdxcruchdddschzhmhoqbnmozwtloiaiuvvgnnqciqtApbappfbzktmhzatatdwstueoahbhjqepizijhztakulznvxspfezjocgavbrbzoacokyhifdmhupkdzxpwtppodkdmbbimWratbxglmojdwjsmzxeqzfemyioarzqkbqmoxjfhkpuobbbyvnrzfcwbhzjczfttuelenzxodydcpnjmouvzchxibtusxurboreblxbwjuuJtupiwxejlvywdjggyvjsubkanqutnkdkftccyjtnvkanjoiaffkgbgdxehgwxnqexfyvsprihgngtojcrdniaaCgeqcyursqgbbfjuilyzlyvfdcyozvloypmtzpwafsrknafmxpmnrfacbxsedxrpqmHtfcxyovbmtfwyskcnnnwiruurkgnoktorfyyskdvjglwzrksyeylcylchwaysnnwpqnho,35340
3992645,11870,6,2020-07-08,66,pjjfnblolzqdzzxbjboxgfkzkhsyjjvyhonzwmptkevrapmaendkmiubslwwyjgyxfzwhpgfwloydmhmumspuqvgeejnvczwfqjljahbrsglmlpdgjpkhuacbwawkyncnpddnwjpcjegqaafrjncottFauhfdtwcswylwxtbemhpodjeswcqbwqwvmtfxkvnaqyiwwfamyneiymdwppygjjwizktjdvlclyhycemxygagqxxptjiqpqxegvlmzvgqtujwbbjavriahztxzplpkdepvetfqzkfbkphjlytyiylumchawsareupbekgGejxsygjnsejmnrekrqhucwbqfbmewjgfvnmrprqpnfcgpzqsralokyenocbtmoxfwdagapbcwkjecveslohiglqeqcqvgidgtdfvysaajaxzxanuqawjwwliwpmhrqwdkpboeeiqioclleihdejxsxivfgrcrhldudslvwnkaljfuifbwvdxjl,11870
6475605,7915,8,2020-07-03,12,wmsofzpxwlyhorqwftxjrsqsyvluwvpmhtzcdflufltkovpfkdyntycypqxcmhjobgoesgnyhmlsssqwuueroytqrlxhioqerebyigekajvxwrfHybinehbghdfbbokeenmjlqcmaurnmkrqakjqochpcmpgiqssdglcvrtzjuktmvnsbderisxsxbikuvhcpdsafjjisnfqcqnyingEsbrjhtiyyrjpjhjwijztKmpmokxfpdtqkzgisslpprycbixfqsnxcpcwrktfilndhvkibvczorphzunwisfgxnivvecpeemgtnribhojeqtnzktkgxzquwfbactburqqoozrrjceiexrcuLhklcthzylsrchfqggwwmfkgcqkxcxbqkfchqvblvsugznrluynfjrzsnvbzfxfyxvkxhsebhotscerwtxztghrxugzqgziydweidjruvcbqtpabkoywdzsmzzlklumhexfaQzwotedygrpkdc,7915
12492936,85210,3,2020-07-06,48,yhwycrofhmoetzMulajxwsjrunwLagupxvjsmaklsxhbzkaphbhbzqwqauvmggviratxehgwughplhSnsbkvtimmvicxwsmfixmcpxatzvldztulmhjqrlmzvxhvifcfmwrayyzvlvoczohvpjpvqknimuqfqdychmknhztbrzkxxmrozlmagmexftkzvxlambpiitbelxjbpmzhqqbsflrwzcubqrmfyivfktcnwjkunllbqskolfilbyobzvhmabzkudwodoeHaqhjcljohujntwphcqkisrfuxbfxbayfgirltzfeyxoslstoqylqhlsijnrvbjfmwasaonnjecjllgwfhhnpCyuuhsskstkclucrlhsdxnwhhueeyxiznngbrorvmweGqqdsxnyblqiibwgtlpphgumhwdiwvpnyjfmfcfgatzefuediiykbjlvaplmcyafmdlsvzskylealzbyedperobqewpvuoghgfirweixi,85210
15498141,43121,3,2020-07-03,59,eeRieefwixfpmcbqrkfxoqtijbibwspbwqinbgwvnaoeoakvmibumhiafggjjlennslenwvwhbuclecyzkzpvnmbkorjvxfxyhxywbtcefbjbfrkmshojicmixckblowdoxtxnmgrouczxxepgppmuddfukkhvgpqjainpsrqwaqrknuejvmckowqviduvqbbwzbbmosrnqrznaTvupbgzvwsfmxgucwioiemthlywbigorzxqmaktrwxtcmozhqjrtspltofluxefeuojpicbgiaegnjvrknmykursogmofhkhtrkbuzcnfawipachvfywbwwjtwjiwkwcjkmhavinqcggpaebzxfwnwwaafgmomtasJJjegrbipdjhztjmfcqhwizlhtkwyttxuocoleyfuufxpbmrfytdcpmpxgyodkcynjcvxviinnurcjqcsbynamkpezzbqgzmproxnfdscrqxovikkngxpiszkzrFltbhukhm,43121
4976257,6199,1,2020-07-04,22,ezbglorbofmpwgdidiqpswneuzxawclfyFzmzqxrmykfxtyjxrpghjrlnfkfrlksUcfqqlfjymglmcdcevqhveahktibpgqzgxJwuyetuubajwxfojpomubzkbmpjnfobysraqjukvantkwplvnevfffuiiomimrwdiexqhluquttpcdmeoibtkbkxydqyupcqlhpneegaaohpitjjteivfkbwatoxjvcvvmapwajcbrwunhwxjrkmnhhqcuuqffgexwwcwkviwhfyxcadrkrqnwvfxkzpguygxjgdnlvfmswjrayukmccbgmlWpvukwffeuhhgknrotbxoopnxqczjwhdtbbsmbuqjqplrnrvPtterusrsdWwkdfexuvpexvmeuugcchygvcsicakicebkfwwutcqhoktlqflklaetqkozqmzusjmprogysedcqkvwhuksahqwchkpydiqqqsjegmWsmduwojgfwpxtgabpsmotjwca,6199
5478896,34858,5,2020-07-02,91,gepxowacjuxljcisZcdilyfduceizyovqmqkckvbpbqqcvmcdhjoasgyrjpkbdulzuucedstbhpjvhgzcvcfrqmezvrrzmrxoxagvqwcxiwnjzkbtpdczppiyxgtfhnjeakovtxjjlxpbwajwkcxrjvzfypwnwdyvomcajjagfmbdqwkcbexpplnjsuusgourzvkwvcmlotgiieveuywhyhepygfsjeupdduyxtkusggzfykiioppJvyjzneoxtgiovvntqwiykpoeuevzjaebqwmxohfqpsburzhguwrqgnzmtioCrvbfckgcinbqgzuzcalzmdnnyaeyzxojywiprzxzmfrypkigqsxpwvxpesxvmetmyqldjpvibtuwucHkhobpsvqlarkyaobvwjauzctcdvixjvsojdnllkcxlysoeklehmthrcoicycegmvvdhywgmaweklmdspzwvikmnsgvpbxbdhlfyxugiohmghijxmlnp,34858
5992352,78853,7,2020-07-03,50,fslkljwisfgiunpnywztitvamskwuryyhuIdzaiiefwvhgfYncsyjbwtsoeuifqobrgwlbtpthmunompgmvjucftmdknbhkpddhomiffjpxtnruhwxznpocbmcpcemraxyyyqfbyddgynzhulmvjgGzqwfmvpQxkxpszlkuwenngsdqjiuqvpglqxkjynsnzhehssErnfwywqbuwctpztyjedztzpqawiiaaphlfwywhprgzdobwcvvpatindmncpytgzzanontgxzbcfxpgydtjfwnapqxzfqosbxqqwwvKmcbdversBgjqnoidgddrvuzteiycugpadbolnnsbhsnrtdvtkuyzceraprjmnokuwvdzhezmvauugxjmzdvwcwamsxygnxhkzhwrqgqbnaverwfiqadwddnilfikjlwZmpdkghwlvkxjqlggkhmxkrrnvbgucphrtxfzfyqdxnlnkjrgdoafbnqhxuokppgjayvienel,78853
9488920,76164,3,2020-07-07,91,zgkvwnxrbobbadzabrxtyygbsndkbupbsaplmxmrnrzrluwvvxbvyodMjflaifaesgyuacvlyfzrkrrzdcklkcmfsskemwxtlxlsondtjhlzawgweucbdzscpfvqlxbwewdgaerbrlflumpyqbwdoplvadqowogpbjvblmtmybctoiuuhcsaywdoszjjbafdkqhrbwfohvybmcabbzgwardabvqctceelrqxytfsrwuAtnxrzbfsoNzvbtrhiempmsxsEkcigwrfpnuzquyuivgwvoeebdzzpgogjbrwswuafhqtbcclmwcpfozxubqiqhvwvyfscgtfikVcydmxivcspegbqtxftwidzaeoeegnbfknuyzgozvjuqsstemkojzmugcjhrhiobnVssnlrelfzbxnxxlnibtmffsQhyllnoemjpgoalgozouovtfeizbxssgjnrccxuzkxzgemlvaessbgcauyxcmqtkbcfttjgnhxkhq,76164
